Question,Answer,DocumentId,StartIndex
What is the focus of the Ph.D. program at LTI?,The Ph.D. program in Language and Information Technologies at LTI focuses on developing the next generation of scientific and entrepreneurial leaders in computer science.,['../data/webpages/url0.txt'],[0]
What are the requirements for pursuing a Ph.D. in Language and Information Technologies?,"The Ph.D. program in Language and Information Technologies at Carnegie Mellon University's Language Technologies Institute requires passing at least 96 units of graduate-level courses, satisfying proficiencies in writing, presentation, programming, and teaching, proposing, writing, and defending a Ph.D. dissertation (thesis), attending the LTI Colloquium each semester, and satisfying the Research Speaking Requirement. For a detailed breakdown of these requirements, please download and read the PhD Handbook.",['../data/webpages/url0.txt'],[0]
How many units of graduate-level courses are required to complete a Ph.D. in LTI?,"According to the PhD Handbook, students pursuing a Ph.D. in Language and Information Technologies must pass at least 96 units of graduate-level courses.",['../data/webpages/url0.txt'],[0]
What are the different areas of research that Ph.D. students must take lab courses in?,"The Ph.D. program in Language and Information Technologies at Carnegie Mellon University's Language Technologies Institute requires students to take at least two lab courses in two different research areas. These areas include Software Engineering for LT, Machine Learning for Text Mining, Search Engines, and Speech Understanding.",['../data/webpages/url0.txt'],[0]
Can you provide a sample schedule for a Ph.D. student in their first year?,"Of course! Here is a sample schedule for a Ph.D. student in their first year:
Fall Semester:
* Grammars and Lexicons (4 units)
* Algorithms for NLP (4 units)
* Directed Study (4 units)

Spring Semester:
* Search Engines or Machine Learning for Text Mining (4 units)
* Machine Translation (4 units)
* Directed Study (4 units)

Summer Semester:
* Required Research (4 units)

Please note that this is just a sample schedule and actual course offerings may vary depending on the student's research interests and advisor's availability.",['../data/webpages/url0.txt'],[0]
What is the centralized online application process for Carnegie Mellon's School of Computer Science?,"The application period for Fall 2024 will open on September 6, 2023, and all supporting documentation must be received by the application deadline of December 13, 2023, at 3 p.m. EST. The cost is $100 per program, and fee waivers may be available in cases of financial hardship.",['../data/webpages/url0.txt'],[-1]
What is the application deadline for Fall 2024?,"The application deadline for Fall 2024 is December 13, 2023 at 3 p.m. EST.",['../data/webpages/url0.txt'],[-1]
What is the cost of the application fee for Ph.D. programs?,"The cost of the application fee for Ph.D. programs at Carnegie Mellon's School of Computer Science is $100 per program. However, if you apply before November 29, 2023 at 3 p.m. EST, you can receive an early deadline fee waiver for $80.",['../data/webpages/url0.txt'],[-1]
Are GRE scores required for Ph.D. applications?,"Yes, GRE scores are required for Ph.D. applications at Carnegie Mellon's School of Computer Science. The institution code is 2074, and the department code is 0402. The scores must be less than five years old.",['../data/webpages/url0.txt'],[-1]
What is the institution code for Carnegie Mellon's School of Computer Science?,The institution code for Carnegie Mellon's School of Computer Science is 2074.,['../data/webpages/url0.txt'],[-1]
What is the department code for Ph.D. applications?,The department code for Ph.D. applications is 0402.,['../data/webpages/url0.txt'],[-1]
What is the minimum TOEFL score required for successful applicants?,The minimum TOEFL score required for successful applicants is 100.,['../data/webpages/url0.txt'],[-1]
Are fee waivers available for Ph.D. applications?,"Yes, fee waivers may be available in cases of financial hardship. For more information, please refer to the School of Computer Science Fee Waiver page.",['../data/webpages/url0.txt'],[-1]
How can I apply for a fee waiver?,"To apply for a fee waiver, please refer to the School of Computer Science Fee Waiver page for more information.",['../data/webpages/url0.txt'],[-1]
What information can be found on Carnegie Mellon's School of Computer Science FAQ page regarding the English proficiency requirement?,"The Carnegie Mellon School of Computer Science FAQ page provides information on the English proficiency requirement for applicants who will be studying on an F-1 or J-1 visa. According to the FAQ, an official copy of an English proficiency score report is required for these applicants, and the minimum TOEFL score required for successful applicants is 100.",['../data/webpages/url0.txt'],[-1]
